"price","zipcode","room_type","bedrooms","accommodates","neighbourhood_group_cleansed","availability_30","host_is_superhost","review_scores_rating","review_scores_location","TV","Elevator","cleaning_fee","property_type","minimum_nights","bathrooms"
95,"11209","Entire home/apt",2,2,"Brooklyn",0,0,100,10,"1","0",75,"House",3,1
45,"11385","Private room",1,2,"Queens",0,0,100,10,"0","0",25,"Apartment",1,1
100,"11220","Private room",0,1,"Brooklyn",30,0,100,10,"1","0",0,"Apartment",2,1
45,"11208","Private room",1,2,"Brooklyn",5,0,74,7,"1","0",65,"Apartment",1,1
90,"10019","Private room",1,2,"Manhattan",0,0,94,10,"0","0",25,"Apartment",3,1
175,"10014","Entire home/apt",1,2,"Manhattan",0,0,94,10,"0","0",60,"Apartment",6,1
250,"11222","Entire home/apt",1,2,"Brooklyn",26,0,80,8,"1","0",0,"Townhouse",1,1
160,"11238","Entire home/apt",1,4,"Brooklyn",1,0,93,10,"1","0",50,"Apartment",4,1
200,"10019","Entire home/apt",1,4,"Manhattan",0,0,100,10,"1","1",50,"Apartment",7,1
200,"11213","Entire home/apt",2,6,"Brooklyn",4,1,99,9,"1","0",120,"Apartment",5,1
35,"11221","Private room",1,1,"Brooklyn",0,0,100,10,"0","0",0,"Townhouse",2,1
250,"11215","Entire home/apt",3,6,"Brooklyn",0,1,99,10,"1","0",80,"Apartment",3,1
90,"11221","Private room",1,2,"Brooklyn",0,1,100,10,"1","0",20,"Apartment",7,1
185,"10028","Private room",1,2,"Manhattan",28,0,97,9,"1","0",100,"Apartment",5,1
69,"11221","Private room",1,1,"Brooklyn",15,1,94,9,"0","0",39,"Apartment",2,1
45,"11369","Private room",1,2,"Queens",10,1,95,10,"1","0",0,"House",1,1
250,"11101","Entire home/apt",2,4,"Queens",16,0,100,10,"1","1",30,"Apartment",1,1
110,"11211","Private room",1,2,"Brooklyn",0,0,93,10,"0","0",50,"Apartment",3,1
260,"11222","Entire home/apt",2,8,"Brooklyn",25,0,100,10,"1","0",95,"Apartment",2,1
